FileName,IsNativeEnglish,NumberCharacters,NumberWords,NumberSentences,NumberSyllables,ASW,ASL,FRES,FKGL
.\Data\english (16838).txt,1,757,126,7,153,1.214285714,18,85.83642857,5.758571429
.\Data\english (29855).txt,1,415,73,3,76,1.04109589,24.33333333,94.05995434,6.184931507
.\Data\Korea  (9836).txt,0,428,64,6,73,1.140625,10.66666667,99.51145833,2.029375
.\Data\english (356).txt,1,650,93,4,135,1.451612903,23.25,60.42979839,10.60653226
.\Data\english (30640).txt,1,258,42,3,54,1.285714286,14,83.85357143,5.041428571
.\Data\english (18760).txt,1,251,49,3,51,1.040816327,16.33333333,102.2036054,3.061632653
.\Data\english (17628).txt,1,383,76,5,81,1.065789474,15.2,101.2412105,2.914315789
.\Data\english (25931).txt,1,346,59,2,70,1.186440678,29.5,76.51961864,9.915
.\Data\english (2355).txt,1,314,55,3,80,1.454545455,18.33333333,65.17212121,8.723636364
.\Data\english (28564).txt,1,270,45,2,45,1,22.5,99.3975,4.985
.\Data\english (48).txt,1,450,73,3,110,1.506849315,24.33333333,54.65721461,11.68082192
.\Data\english (3546).txt,1,403,51,4,89,1.745098039,12.75,46.25845588,9.974656863
.\Data\Korea  (1061).txt,0,597,100,12,110,1.1,8.333333333,105.3166667,0.64
.\Data\english (174).txt,1,312,51,4,59,1.156862745,12.75,96.02316176,3.033480392
.\Data\english (1181).txt,1,281,40,1,47,1.175,40,66.83,13.875
.\Data\Korea  (2947).txt,0,555,103,8,102,0.990291262,12.875,109.9882342,1.116686893
.\Data\english (10342).txt,1,232,41,2,40,0.975609756,20.5,103.4909146,3.917195122
.\Data\Korea  (1376).txt,0,657,113,14,126,1.115044248,8.071428571,104.3097566,0.715379267
.\Data\Korea  (4929).txt,0,450,81,9,85,1.049382716,9,108.9222222,0.302716049
.\Data\Korea  (9349).txt,0,522,96,9,103,1.072916667,10.66666667,105.2395833,1.230416667
.\Data\english (21312).txt,1,490,101,5,101,1,20.2,101.732,4.088
.\Data\english (33824).txt,1,276,43,2,64,1.488372093,21.5,59.09622093,10.3577907
.\Data\english (10389).txt,1,298,60,3,55,0.916666667,20,108.985,3.026666667
.\Data\english (29609).txt,1,346,49,3,78,1.591836735,16.33333333,55.58727891,9.563673469
.\Data\english (26195).txt,1,760,103,3,134,1.300970874,34.33333333,61.92453074,13.15145631
.\Data\english (9178).txt,1,420,72,3,85,1.180555556,24,82.6,7.700555556
.\Data\english (33941).txt,1,339,57,1,78,1.368421053,57,33.21157895,22.78736842
.\Data\english (1233).txt,1,324,49,3,64,1.306122449,16.33333333,79.75870748,6.192244898
.\Data\english (24479).txt,1,894,153,6,186,1.215686275,25.5,78.10544118,8.700098039
.\Data\english (7054).txt,1,777,141,11,144,1.021276596,12.81818182,107.4245455,1.460154739
.\Data\english (22676).txt,1,242,48,4,42,0.875,12,120.63,-0.585
.\Data\english (22025).txt,1,560,109,5,110,1.009174312,21.8,99.33185321,4.820256881
.\Data\english (3696).txt,1,376,64,3,81,1.265625,21.33333333,78.10979167,7.664375
.\Data\english (13394).txt,1,500,95,9,91,0.957894737,10.55555556,115.0832164,-0.170175439
.\Data\english (23183).txt,1,352,66,4,64,0.96969697,16.5,108.0511364,2.287424242
.\Data\english (31115).txt,1,328,62,4,67,1.080645161,15.5,99.67991935,3.206612903
.\Data\Korea  (7029).txt,0,565,93,9,85,0.913978495,10.33333333,119.024086,-0.775053763
.\Data\english (13531).txt,1,709,119,1,162,1.361344538,119,-29.1197479,46.88386555
.\Data\english (12281).txt,1,580,95,5,104,1.094736842,19,94.93526316,4.737894737
.\Data\english (22583).txt,1,749,148,4,161,1.087837838,37,77.24891892,11.67648649
.\Data\english (535).txt,1,720,123,7,142,1.154471545,17.57142857,91.33170732,4.88562137
.\Data\english (34538).txt,1,538,85,4,108,1.270588235,21.25,77.77448529,7.690441176
.\Data\english (7967).txt,1,502,84,4,100,1.19047619,21,84.80571429,6.647619048
.\Data\Korea  (6312).txt,0,233,39,6,50,1.282051282,6.5,91.77596154,2.073205128
.\Data\english (13819).txt,1,1076,169,7,170,1.00591716,24.14285714,97.22940828,5.695536771
.\Data\Korea  (4705).txt,0,695,122,19,101,0.827868852,6.421052632,130.2799267,-3.316937015
.\Data\Korea  (179).txt,0,568,95,5,117,1.231578947,19,83.35842105,6.352631579
.\Data\english (25896).txt,1,291,49,2,57,1.163265306,24.5,83.5552551,7.691530612
.\Data\english (95).txt,1,442,75,3,98,1.306666667,25,70.916,9.578666667
.\Data\Korea  (9106).txt,0,592,107,15,87,0.813084112,7.133333333,130.8077508,-3.213607477
.\Data\english (12750).txt,1,301,42,2,52,1.238095238,21,80.77714286,7.20952381
.\Data\english (24602).txt,1,450,69,3,85,1.231884058,23,79.2726087,7.916231884
.\Data\english (13391).txt,1,250,42,3,45,1.071428571,14,101.9821429,2.512857143
.\Data\Korea  (9075).txt,0,619,103,7,101,0.980582524,14.71428571,108.9427184,1.719445215
.\Data\english (202).txt,1,970,147,4,219,1.489795918,36.75,43.49701531,16.32209184
.\Data\english (30090).txt,1,867,137,7,198,1.445255474,19.57142857,64.70138686,9.096871741
.\Data\english (20416).txt,1,236,41,1,55,1.341463415,41,51.73219512,16.22926829
.\Data\english (29235).txt,1,913,151,9,180,1.19205298,16.77777778,88.95787344,5.019558499
.\Data\english (9070).txt,1,530,87,5,89,1.022988506,17.4,102.6291724,3.267264368
.\Data\Korea  (7634).txt,0,268,41,4,40,0.975609756,10.25,113.8946646,-0.080304878
.\Data\Korea  (3536).txt,0,716,126,14,130,1.031746032,9,110.4142857,0.094603175
.\Data\english (24662).txt,1,244,40,1,53,1.325,40,54.14,15.645
.\Data\english (7761).txt,1,575,103,4,131,1.27184466,25.75,73.10069175,9.46026699
.\Data\english (26392).txt,1,224,31,1,48,1.548387097,31,44.37645161,14.77096774
.\Data\english (2636).txt,1,395,54,1,85,1.574074074,54,18.85833333,24.04407407
.\Data\english (3047).txt,1,259,43,1,59,1.372093023,43,47.11093023,17.37069767
.\Data\english (10983).txt,1,294,50,2,69,1.38,25,64.712,10.444
.\Data\english (27405).txt,1,263,46,3,53,1.152173913,15.33333333,93.79775362,3.985652174
.\Data\english (28679).txt,1,521,95,7,88,0.926315789,13.57142857,114.6936842,0.633383459
.\Data\english (16626).txt,1,297,43,5,50,1.162790698,8.6,99.73390698,1.484930233
.\Data\english (27879).txt,1,558,85,4,111,1.305882353,21.25,74.78860294,8.106911765
.\Data\english (33371).txt,1,1388,235,12,289,1.229787234,19.58333333,82.91791667,6.558989362
.\Data\english (14187).txt,1,331,59,3,62,1.050847458,19.66666667,97.97163842,4.48
.\Data\english (22053).txt,1,356,73,5,73,1,14.6,107.416,1.904
.\Data\Korea  (760).txt,0,575,106,6,135,1.273584906,17.66666667,81.15805031,6.328301887
.\Data\english (28061).txt,1,430,67,3,69,1.029850746,22.33333333,97.04129353,5.272238806
.\Data\english (290).txt,1,467,73,4,95,1.301369863,18.25,78.21535959,6.883664384
.\Data\Korea  (8864).txt,0,768,129,19,124,0.96124031,6.789473684,118.622754,-1.599469604
.\Data\english (13060).txt,1,553,85,3,110,1.294117647,28.33333333,68.59431373,10.73058824
.\Data\english (34734).txt,1,295,46,3,52,1.130434783,15.33333333,95.63688406,3.729130435
.\Data\english (19914).txt,1,440,89,6,77,0.865168539,14.83333333,118.5859082,0.403988764
.\Data\english (31316).txt,1,330,56,5,64,1.142857143,11.2,98.78128571,2.263714286
.\Data\english (33825).txt,1,425,68,3,68,1,22.66666667,99.22833333,5.05
.\Data\english (9869).txt,1,1017,188,36,178,0.946808511,5.222222222,121.4344444,-2.380992908
.\Data\english (15970).txt,1,209,35,2,38,1.085714286,17.5,97.22107143,4.046428571
.\Data\english (8304).txt,1,444,82,3,83,1.012195122,27.33333333,93.45995935,7.013902439
.\Data\english (26104).txt,1,845,150,5,186,1.24,30,71.481,10.742
.\Data\english (21060).txt,1,304,58,5,58,1,11.6,110.461,0.734
.\Data\english (19437).txt,1,452,85,8,109,1.282352941,10.625,87.56356618,3.685514706
.\Data\english (6362).txt,1,601,83,5,87,1.048192771,16.6,101.3088916,3.252674699
.\Data\english (2757).txt,1,391,59,2,99,1.677966102,29.5,34.9365678,15.715
.\Data\english (13767).txt,1,422,62,5,99,1.596774194,12.4,59.16190323,8.087935484
.\Data\english (2943).txt,1,383,59,3,83,1.406779661,19.66666667,67.85977401,8.68
.\Data\Korea  (9092).txt,0,616,117,13,104,0.888888889,9,122.5,-1.591111111
.\Data\english (30164).txt,1,362,58,3,66,1.137931034,19.33333333,90.94270115,5.377586207
.\Data\english (5335).txt,1,694,111,5,127,1.144144144,22.2,87.50740541,6.568900901
.\Data\english (3522).txt,1,551,95,5,109,1.147368421,19,90.48263158,5.358947368
.\Data\english (12507).txt,1,213,40,1,44,1.1,40,73.175,12.99
.\Data\english (5483).txt,1,654,122,6,116,0.950819672,20.33333333,105.7573224,3.559672131
.\Data\english (1145).txt,1,810,123,7,179,1.455284553,17.57142857,65.88292683,8.435214866
.\Data\english (19741).txt,1,401,82,3,85,1.036585366,27.33333333,91.39654472,7.301707317
.\Data\english (10294).txt,1,571,102,6,114,1.117647059,17,95.02705882,4.228235294
.\Data\english (31050).txt,1,623,105,9,105,1,11.66666667,110.3933333,0.76
.\Data\english (158).txt,1,778,105,9,120,1.142857143,11.66666667,98.30761905,2.445714286
.\Data\english (25108).txt,1,712,136,7,134,0.985294118,19.42857143,103.7591176,3.613613445
.\Data\english (24377).txt,1,462,80,3,109,1.3625,26.66666667,64.50083333,10.8875
.\Data\english (34065).txt,1,218,33,3,46,1.393939394,11,77.74272727,5.148484848
.\Data\english (5372).txt,1,295,45,2,70,1.555555556,22.5,52.3975,11.54055556
.\Data\english (5459).txt,1,788,100,4,125,1.25,25,75.71,8.91
.\Data\english (32171).txt,1,1153,181,9,242,1.337016575,20.11111111,73.31062001,8.030128913
.\Data\english (19834).txt,1,1169,229,7,243,1.061135371,32.71428571,83.8579476,9.689968808
.\Data\english (17344).txt,1,548,108,8,102,0.944444444,13.5,113.2325,0.819444444
.\Data\english (8739).txt,1,1074,203,8,214,1.054187192,25.375,91.89513855,6.745658867
.\Data\english (14209).txt,1,241,42,2,46,1.095238095,21,92.86285714,5.523809524
.\Data\english (21487).txt,1,1188,204,8,238,1.166666667,25.5,82.2525,8.121666667
.\Data\english (12237).txt,1,626,95,3,135,1.421052632,31.66666667,54.4722807,13.52842105
.\Data\Korea  (768).txt,0,960,171,16,164,0.959064327,10.6875,114.8503454,-0.104915936
.\Data\english (12034).txt,1,502,78,4,91,1.166666667,19.5,88.3425,5.781666667
.\Data\english (23467).txt,1,629,112,7,131,1.169642857,16,91.64321429,4.451785714
.\Data\english (31954).txt,1,402,69,4,97,1.405797101,17.25,70.39581522,7.725905797
.\Data\english (3490).txt,1,247,42,3,39,0.928571429,14,114.0678571,0.827142857
.\Data\english (16254).txt,1,286,34,2,51,1.5,17,62.68,8.74
.\Data\english (21603).txt,1,788,137,7,146,1.065693431,19.57142857,96.81233577,4.618039625
.\Data\english (24160).txt,1,395,77,8,63,0.818181818,9.625,127.8474432,-2.181704545
.\Data\english (7705).txt,1,243,41,2,49,1.195121951,20.5,84.92018293,6.507439024
.\Data\english (1975).txt,1,477,81,4,118,1.456790123,20.25,63.03680556,9.497623457
.\Data\english (6192).txt,1,791,141,9,154,1.092198582,15.66666667,98.53333333,3.407943262
.\Data\english (6944).txt,1,236,44,2,58,1.318181818,22,72.98681818,8.544545455
.\Data\english (19784).txt,1,380,68,7,68,1,9.714285714,112.375,-0.001428571
.\Data\english (5127).txt,1,329,47,3,43,0.914893617,15.66666667,113.5333333,1.315744681
.\Data\english (34294).txt,1,237,36,2,33,0.916666667,18,111.015,2.246666667
.\Data\english (1521).txt,1,305,51,2,60,1.176470588,25.5,81.42308824,8.237352941
.\Data\english (29580).txt,1,223,42,2,46,1.095238095,21,92.86285714,5.523809524
.\Data\Korea  (9727).txt,0,553,104,8,102,0.980769231,13,110.6669231,1.053076923
.\Data\Korea  (9439).txt,0,545,106,15,98,0.924528302,7.066666667,121.447239,-1.924566038
.\Data\english (30382).txt,1,334,58,3,62,1.068965517,19.33333333,96.77718391,4.563793103
.\Data\Korea  (6180).txt,0,352,56,6,57,1.017857143,9.333333333,111.2509524,0.060714286
.\Data\english (24227).txt,1,1183,217,12,241,1.110599078,18.08333333,94.52373464,4.567569124
.\Data\english (28767).txt,1,283,47,5,52,1.106382979,9.4,103.694,1.131319149
.\Data\english (6356).txt,1,641,108,4,131,1.212962963,27,76.81333333,9.252962963
.\Data\english (17142).txt,1,343,59,1,70,1.186440678,59,46.57711864,21.42
.\Data\english (5593).txt,1,781,129,5,187,1.449612403,25.8,58.0107907,11.57742636
.\Data\english (20072).txt,1,255,53,4,46,0.867924528,13.25,119.9598349,-0.180990566
.\Data\english (7282).txt,1,365,72,6,72,1,12,110.055,0.89
.\Data\Korea  (5771).txt,0,594,105,11,102,0.971428571,9.545454545,114.9635065,-0.404415584
.\Data\english (28568).txt,1,226,37,3,48,1.297297297,12.33333333,84.56531532,4.528108108
.\Data\english (22199).txt,1,983,172,7,186,1.081395349,24.57142857,90.40895349,6.753322259
.\Data\Korea  (9409).txt,0,618,107,11,108,1.009345794,9.727272727,111.571164,0.113916737
.\Data\Korea  (865).txt,0,485,90,6,87,0.966666667,15,109.83,1.666666667
.\Data\Korea  (5293).txt,0,637,104,11,102,0.980769231,9.454545455,114.2655594,-0.32965035
.\Data\english (26207).txt,1,234,37,2,36,0.972972973,18.5,105.7439865,3.106081081
.\Data\Korea  (6658).txt,0,624,114,12,96,0.842105263,9.5,125.9503947,-1.948157895
.\Data\english (28053).txt,1,793,144,7,151,1.048611111,20.57142857,97.2425,4.806468254
.\Data\Korea  (6277).txt,0,473,87,9,87,1,9.666666667,112.4233333,-0.02
.\Data\english (22308).txt,1,1485,261,15,281,1.076628352,17.4,98.09124138,3.900214559
.\Data\english (34677).txt,1,363,64,4,64,1,16,105.995,2.45
.\Data\english (10471).txt,1,386,58,2,86,1.482758621,29,51.95862069,13.21655172
.\Data\english (3061).txt,1,471,81,4,91,1.12345679,20.25,91.23680556,5.564290123
.\Data\english (28643).txt,1,312,56,3,59,1.053571429,18.66666667,98.75619048,4.122142857
.\Data\english (19879).txt,1,951,176,7,195,1.107954545,25.14285714,87.58204545,7.289577922
.\Data\Korea  (210).txt,0,966,157,7,200,1.27388535,22.42857143,76.29929936,8.188989991
.\Data\english (20265).txt,1,283,53,4,53,1,13.25,108.78625,1.3775
.\Data\Korea  (9624).txt,0,277,54,6,45,0.833333333,9,127.2,-2.246666667
.\Data\english (19999).txt,1,616,114,3,144,1.263157895,38,61.40184211,14.13526316
.\Data\Korea  (9285).txt,0,627,117,9,121,1.034188034,13,106.1476923,1.683418803
.\Data\Korea  (142).txt,0,714,121,9,119,0.983471074,13.44444444,109.987236,1.258292011
.\Data\english (25292).txt,1,369,61,7,53,0.868852459,8.714285714,124.485082,-1.938969555
.\Data\english (17895).txt,1,306,61,5,55,0.901639344,12.2,118.1733115,-0.192655738
.\Data\Korea  (3863).txt,0,658,126,11,108,0.857142857,11.45454545,122.6943506,-1.008441558
.\Data\english (9614).txt,1,251,49,4,47,0.959183673,12.25,113.2543112,0.505867347
.\Data\english (31310).txt,1,229,34,2,46,1.352941176,17,75.12117647,7.004705882
